"Variables ->","x"
"Comments ->",""
"Class[Size] ->","tseries[574-by-1]"
"2000W01",3.17100000e+01
"2000W02",9.50200000e+01
"2000W03",3.44000000e+00
"2000W04",4.38700000e+01
"2000W05",3.81600000e+01
"2000W06",7.65500000e+01
"2000W07",7.95200000e+01
"2000W08",1.86900000e+01
"2000W09",4.89800000e+01
"2000W10",4.45600000e+01
"2000W11",6.46300000e+01
"2000W12",7.09400000e+01
"2000W13",7.54700000e+01
"2000W14",2.76000000e+01
"2000W15",6.79700000e+01
"2000W16",6.55100000e+01
"2000W17",1.62600000e+01
"2000W18",1.19000000e+01
"2000W19",4.98400000e+01
"2000W20",9.59700000e+01
"2000W21",3.40400000e+01
"2000W22",5.85300000e+01
"2000W23",2.23800000e+01
"2000W24",7.51300000e+01
"2000W25",2.55100000e+01
"2000W26",5.06000000e+01
"2000W27",6.99100000e+01
"2000W28",8.90900000e+01
"2000W29",9.59300000e+01
"2000W30",5.47200000e+01
"2000W31",1.38600000e+01
"2000W32",1.49300000e+01
"2000W33",2.57500000e+01
"2000W34",8.40700000e+01
"2000W35",2.54300000e+01
"2000W36",8.14300000e+01
"2000W37",2.43500000e+01
"2000W38",9.29300000e+01
"2000W39",3.50000000e+01
"2000W40",1.96600000e+01
"2000W41",2.51100000e+01
"2000W42",6.16000000e+01
"2000W43",4.73300000e+01
"2000W44",3.51700000e+01
"2000W45",8.30800000e+01
"2000W46",5.85300000e+01
"2000W47",5.49700000e+01
"2000W48",9.17200000e+01
"2000W49",2.85800000e+01
"2000W50",7.57200000e+01
"2000W51",7.53700000e+01
"2000W52",3.80400000e+01
"2001W01",5.67800000e+01
"2001W02",7.59000000e+00
"2001W03",5.40000000e+00
"2001W04",5.30800000e+01
"2001W05",7.79200000e+01
"2001W06",9.34000000e+01
"2001W07",1.29900000e+01
"2001W08",5.68800000e+01
"2001W09",4.69400000e+01
"2001W10",1.19000000e+00
"2001W11",3.37100000e+01
"2001W12",1.62200000e+01
"2001W13",7.94300000e+01
"2001W14",3.11200000e+01
"2001W15",5.28500000e+01
"2001W16",1.65600000e+01
"2001W17",6.02000000e+01
"2001W18",2.63000000e+01
"2001W19",6.54100000e+01
"2001W20",6.89200000e+01
"2001W21",7.48200000e+01
"2001W22",4.50500000e+01
"2001W23",8.38000000e+00
"2001W24",2.29000000e+01
"2001W25",9.13300000e+01
"2001W26",1.52400000e+01
"2001W27",8.25800000e+01
"2001W28",5.38300000e+01
"2001W29",9.96100000e+01
"2001W30",7.82000000e+00
"2001W31",4.42700000e+01
"2001W32",1.06700000e+01
"2001W33",9.61900000e+01
"2001W34",4.60000000e-01
"2001W35",7.74900000e+01
"2001W36",8.17300000e+01
"2001W37",8.68700000e+01
"2001W38",8.44000000e+00
"2001W39",3.99800000e+01
"2001W40",2.59900000e+01
"2001W41",8.00100000e+01
"2001W42",4.31400000e+01
"2001W43",9.10600000e+01
"2001W44",1.81800000e+01
"2001W45",2.63800000e+01
"2001W46",1.45500000e+01
"2001W47",1.36100000e+01
"2001W48",8.69300000e+01
"2001W49",5.79700000e+01
"2001W50",5.49900000e+01
"2001W51",1.45000000e+01
"2001W52",8.53000000e+01
"2002W01",6.22100000e+01
"2002W02",3.51000000e+01
"2002W03",5.13200000e+01
"2002W04",4.01800000e+01
"2002W05",7.60000000e+00
"2002W06",2.39900000e+01
"2002W07",1.23300000e+01
"2002W08",1.83900000e+01
"2002W09",2.40000000e+01
"2002W10",4.17300000e+01
"2002W11",4.97000000e+00
"2002W12",9.02700000e+01
"2002W13",9.44800000e+01
"2002W14",4.90900000e+01
"2002W15",4.89300000e+01
"2002W16",3.37700000e+01
"2002W17",9.00100000e+01
"2002W18",3.69200000e+01
"2002W19",1.11200000e+01
"2002W20",7.80300000e+01
"2002W21",3.89700000e+01
"2002W22",2.41700000e+01
"2002W23",4.03900000e+01
"2002W24",9.65000000e+00
"2002W25",1.32000000e+01
"2002W26",9.42100000e+01
"2002W27",9.56100000e+01
"2002W28",5.75200000e+01
"2002W29",5.98000000e+00
"2002W30",2.34800000e+01
"2002W31",3.53200000e+01
"2002W32",8.21200000e+01
"2002W33",1.54000000e+00
"2002W34",4.30000000e+00
"2002W35",1.69000000e+01
"2002W36",6.49100000e+01
"2002W37",7.31700000e+01
"2002W38",6.47700000e+01
"2002W39",4.50900000e+01
"2002W40",5.47000000e+01
"2002W41",2.96300000e+01
"2002W42",7.44700000e+01
"2002W43",1.89000000e+01
"2002W44",6.86800000e+01
"2002W45",1.83500000e+01
"2002W46",3.68500000e+01
"2002W47",6.25600000e+01
"2002W48",7.80200000e+01
"2002W49",8.11000000e+00
"2002W50",9.29400000e+01
"2002W51",7.75700000e+01
"2002W52",4.86800000e+01
"2003W01",4.35900000e+01
"2003W02",4.46800000e+01
"2003W03",3.06300000e+01
"2003W04",5.08500000e+01
"2003W05",5.10800000e+01
"2003W06",8.17600000e+01
"2003W07",7.94800000e+01
"2003W08",6.44300000e+01
"2003W09",3.78600000e+01
"2003W10",8.11600000e+01
"2003W11",5.32800000e+01
"2003W12",3.50700000e+01
"2003W13",9.39000000e+01
"2003W14",8.75900000e+01
"2003W15",5.50200000e+01
"2003W16",6.22500000e+01
"2003W17",5.87000000e+01
"2003W18",2.07700000e+01
"2003W19",3.01200000e+01
"2003W20",4.70900000e+01
"2003W21",2.30500000e+01
"2003W22",8.44300000e+01
"2003W23",1.94800000e+01
"2003W24",2.25900000e+01
"2003W25",1.70700000e+01
"2003W26",2.27700000e+01
"2003W27",4.35700000e+01
"2003W28",3.11100000e+01
"2003W29",9.23400000e+01
"2003W30",4.30200000e+01
"2003W31",1.84800000e+01
"2003W32",9.04900000e+01
"2003W33",9.79700000e+01
"2003W34",4.38900000e+01
"2003W35",1.11100000e+01
"2003W36",2.58100000e+01
